",""nest_id"",""nestbox"",""plot"",""tree_species_composition"",""fragment_area"",""edge_density"",""breeding_season"",""species"",""id_male"",""id_female"",""laying_date"",""clutch_size"",""collected_Egg"",""hatchling_number"",""Fledgling_number"",""frass"""
"211,""2016_21_2"",""21_2"",21,""Fsyl"",6.1912,1777.232464,2016,""Parusmajor"",NA,""57V84725"",2016-04-14,8,0,6,0,0.02553256"
"212,""2015_22_2"",""22_2"",22,""Fsyl"",44.1402,2336.669661,2015,""Parusmajor"",NA,NA,2015-04-16,6,1,4,0,NA"
"213,""2016_22_4"",""22_4"",22,""Fsyl"",44.1402,2336.669661,2016,""Parusmajor"",NA,NA,2016-04-17,3,0,0,0,NA"
"214,""2016_23_1"",""23_1"",23,""FsylQrob"",44.1402,2590.644674,2016,""Cyanistescaeruleus"",NA,NA,2016-04-11,11,0,0,0,NA"
"215,""2016_23_2"",""23_2"",23,""FsylQrob"",44.1402,2590.644674,2016,""Parusmajor"",NA,""59V39156"",2016-04-17,10,0,10,10,0.1379"
"216,""2015_24_2"",""24_2"",24,""threespec"",44.1402,1106.881143,2015,""Parusmajor"",NA,""57V84727"",2015-04-12,9,1,8,0,NA"
"217,""2015_24_1"",""24_1"",24,""threespec"",44.1402,1106.881143,2015,""Parusmajor"",NA,NA,2015-04-15,6,1,5,5,NA"
"218,""2016_24_2"",""24_2"",24,""threespec"",44.1402,1106.881143,2016,""Cyanistescaeruleus"",NA,""14157743"",2016-05-01,9,0,9,8,0.040972857"
"219,""2015_25_2"",""25_2"",25,""QrobQrub"",19.2985,1495.375256,2015,""Parusmajor"",NA,""57V84732"",2015-04-13,10,1,9,7,NA"
"220,""2015_25_3"",""25_3"",25,""QrobQrub"",19.2985,1495.375256,2015,""Parusmajor"",NA,NA,2015-04-14,9,1,0,0,NA"
"221,""2016_25_3"",""25_3"",25,""QrobQrub"",19.2985,1495.375256,2016,""Parusmajor"",NA,""59V3956"",2016-04-14,11,0,11,11,0.749256667"
"222,""2015_26_3"",""26_3"",26,""Fsyl"",3.5305,839.5898714,2015,""Parusmajor"",NA,""58V92971"",2015-04-15,8,1,6,0,NA"
"223,""2016_26_2"",""26_2"",26,""Fsyl"",3.5305,839.5898714,2016,""Cyanistescaeruleus"",NA,NA,2016-04-23,3,0,0,0,NA"
"224,""2016_26_4"",""26_4"",26,""Fsyl"",3.5305,839.5898714,2016,""Parusmajor"",NA,""58V92971"",2016-05-06,5,0,3,0,NA"
"225,""2015_27_4"",""27_4"",27,""FsylQrob"",1.313,1235.849916,2015,""Parusmajor"",NA,NA,2015-04-17,9,1,4,0,NA"
"226,""2015_27_3"",""27_3"",27,""FsylQrob"",1.313,1235.849916,2015,""Sittaeuropeae"",NA,NA,2015-04-18,8,0,6,0,NA"
"227,""2016_27_3"",""27_3"",27,""FsylQrob"",1.313,1235.849916,2016,""Parusmajor"",NA,""58V92460"",2016-04-13,6,0,5,5,0.116011508"
"228,""2016_27_2"",""27_2"",27,""FsylQrob"",1.313,1235.849916,2016,""Cyanistescaeruleus"",NA,""14157432"",2016-04-15,11,0,10,10,0.161300486"
"229,""2016_27_4"",""27_4"",27,""FsylQrob"",1.313,1235.849916,2016,""Sittaeuropeae"",NA,NA,2016-04-25,7,0,7,7,NA"
"230,""2016_28_4"",""28_4"",28,""FsylQrob"",10.7426,1861.982544,2016,""Sittaeuropeae"",NA,NA,2016-04-10,8,0,7,7,NA"
"231,""2016_28_1"",""28_1"",28,""FsylQrob"",10.7426,1861.982544,2016,""Parusmajor"",NA,""58V92948"",2016-04-13,8,0,8,8,NA"
"232,""2016_28_2"",""28_2"",28,""FsylQrob"",10.7426,1861.982544,2016,""Cyanistescaeruleus"",NA,""12126177"",2016-04-15,7,0,6,3,NA"
"233,""2015_29_2"",""29_2"",29,""threespec"",10.7426,1982.888246,2015,""Cyanistescaeruleus"",NA,NA,2015-04-11,10,1,9,9,NA"
"234,""2015_29_1"",""29_1"",29,""threespec"",10.7426,1982.888246,2015,""Cyanistescaeruleus"",NA,""12126418"",2015-04-13,14,1,12,0,NA"
"235,""2016_29_3"",""29_3"",29,""threespec"",10.7426,1982.888246,2016,""Cyanistescaeruleus"",NA,NA,2016-04-12,8,0,0,0,NA"
"236,""2016_29_2"",""29_2"",29,""threespec"",10.7426,1982.888246,2016,""Parusmajor"",NA,NA,2016-04-16,8,0,8,8,0.156324516"
"237,""2016_29_4"",""29_4"",29,""threespec"",10.7426,1982.888246,2016,""Parusmajor"",NA,NA,2016-04-18,4,0,0,0,NA"
"238,""2016_29_1"",""29_1"",29,""threespec"",10.7426,1982.888246,2016,""Cyanistescaeruleus"",NA,NA,2016-04-21,10,0,9,8,0.145214603"
"239,""2016_30_1"",""30_1"",30,""FsylQrob"",9.6915,1963.189302,2016,""Cyanistescaeruleus"",NA,""13105104"",2016-04-07,13,0,11,11,0.187127302"
"240,""2016_30_2"",""30_2"",30,""FsylQrob"",9.6915,1963.189302,2016,""Parusmajor"",NA,""59V39015"",2016-04-08,9,0,9,9,0.187127302"
"241,""2016_30_3"",""30_3"",30,""FsylQrob"",9.6915,1963.189302,2016,""Parusmajor"",NA,""59V39354"",2016-04-10,11,0,10,10,0.197142639"
"242,""2016_30_4"",""30_4"",30,""FsylQrob"",9.6915,1963.189302,2016,""Parusmajor"",NA,""59V39353"",2016-04-20,7,0,5,5,0.186189286"
"243,""2015_31_1"",""31_1"",31,""Qrob"",9.2077,1255.846088,2015,""Parusmajor"",NA,""57V84742"",2015-04-14,10,1,8,8,NA"
"244,""2016_31_2"",""31_2"",31,""Qrob"",9.2077,1255.846088,2016,""Parusmajor"",NA,NA,2016-04-08,8,0,0,0,NA"
"245,""2016_31_1"",""31_1"",31,""Qrob"",9.2077,1255.846088,2016,""Sittaeuropeae"",NA,NA,2016-04-10,9,0,9,9,NA"
"246,""2016_31_4"",""31_4"",31,""Qrob"",9.2077,1255.846088,2016,""Cyanistescaeruleus"",NA,NA,2016-04-12,11,0,0,0,NA"
"247,""2016_31_3"",""31_3"",31,""Qrob"",9.2077,1255.846088,2016,""Cyanistescaeruleus"",NA,NA,2016-04-14,10,0,8,7,0.246744246"
"248,""2015_32_4"",""32_4"",32,""QrobQrub"",35.4919,2006.642238,2015,""Cyanistescaeruleus"",NA,""12126410"",2015-04-10,7,0,4,0,NA"
"249,""2016_32_4"",""32_4"",32,""QrobQrub"",35.4919,2006.642238,2016,""Parusmajor"",NA,NA,2016-04-08,6,0,4,4,0.188919786"
"250,""2015_33_1"",""33_1"",33,""Qrub"",35.4919,1787.879608,2015,""Parusmajor"",NA,""58V92840"",2015-04-14,7,1,6,3,NA"
"251,""2016_33_2"",""33_2"",33,""Qrub"",35.4919,1787.879608,2016,""Parusmajor"",NA,NA,2016-04-08,8,0,5,0,0.105979714"
"252,""2015_34_3"",""34_3"",34,""QrobQrub"",35.4919,2128.950818,2015,""Parusmajor"",NA,NA,2015-04-14,8,0,8,6,NA"
"253,""2015_34_1"",""34_1"",34,""QrobQrub"",35.4919,2128.950818,2015,""Parusmajor"",NA,NA,2015-05-06,8,0,5,3,NA"
"254,""2016_34_4"",""34_4"",34,""QrobQrub"",35.4919,2128.950818,2016,""Sittaeuropeae"",NA,NA,2016-04-13,8,0,8,8,NA"
"255,""2015_35_4"",""35_4"",35,""Qrob"",35.4919,2150.791531,2015,""Parusmajor"",NA,NA,2015-04-15,9,0,7,5,NA"
"256,""2015_35_1"",""35_1"",35,""Qrob"",35.4919,2150.791531,2015,""Parusmajor"",NA,NA,2015-04-17,7,1,4,4,NA"
"257,""2016_35_4"",""35_4"",35,""Qrob"",35.4919,2150.791531,2016,""Parusmajor"",NA,""59V39025"",2016-05-14,7,0,7,7,0.98726131"
"258,""2016_35_1"",""35_1"",35,""Qrob"",35.4919,2150.791531,2016,""Parusmajor"",NA,NA,NA,7,0,6,5,0.985419643"
"259,""2015_36_3"",""36_3"",36,""Qrub"",58.3536,1206.265666,2015,""Parusmajor"",NA,NA,2015-04-12,7,1,6,0,NA"
"260,""2015_36_1"",""36_1"",36,""Qrub"",58.3536,1206.265666,2015,""Parusmajor"",NA,NA,2015-04-28,7,0,6,6,NA"
"261,""2016_36_1"",""36_1"",36,""Qrub"",58.3536,1206.265666,2016,""Cyanistescaeruleus"",NA,NA,2016-04-13,8,0,8,8,0.125904643"
"262,""2016_37_1"",""37_1"",37,""Qrub"",58.3536,1834.147379,2016,""Parusmajor"",NA,NA,2016-04-16,10,0,NA,NA,0.443321825"
"263,""2016_37_3"",""37_3"",37,""Qrub"",58.3536,1834.147379,2016,""Parusmajor"",NA,NA,2016-04-16,9,0,8,7,0.44391373"
"264,""2016_37_4"",""37_4"",37,""Qrub"",58.3536,1834.147379,2016,""Cyanistescaeruleus"",NA,NA,2016-04-18,8,0,8,6,0.44391373"
"265,""2015_38_2"",""38_2"",38,""threespec"",46.6448,1588.065265,2015,""Parusmajor"",NA,NA,2015-04-16,6,0,0,0,NA"
"266,""2015_38_3"",""38_3"",38,""threespec"",46.6448,1588.065265,2015,""Parusmajor"",NA,""58V92794"",2015-04-18,6,1,4,4,NA"
"267,""2016_38_2"",""38_2"",38,""threespec"",46.6448,1588.065265,2016,""Parusmajor"",NA,""59V39400"",2016-04-15,8,0,8,7,0.396583968"
"268,""2016_38_3"",""38_3"",38,""threespec"",46.6448,1588.065265,2016,""Cyanistescaeruleus"",NA,NA,2016-04-24,7,0,0,0,NA"
"269,""2015_39_3"",""39_3"",39,""FsylQrub"",46.6448,2118.242176,2015,""Sittaeuropeae"",NA,NA,2015-04-09,4,0,4,0,NA"
"270,""2015_39_2"",""39_2"",39,""FsylQrub"",46.6448,2118.242176,2015,""Parusmajor"",NA,""57V84769"",2015-04-17,5,1,0,0,NA"
"271,""2016_39_3"",""39_3"",39,""FsylQrub"",46.6448,2118.242176,2016,""Cyanistescaeruleus"",NA,NA,2016-04-11,10,0,8,8,NA"
"272,""2016_39_2"",""39_2"",39,""FsylQrub"",46.6448,2118.242176,2016,""Parusmajor"",NA,""59V39620"",2016-04-26,6,0,6,6,NA"
"273,""2016_39_1"",""39_1"",39,""FsylQrub"",46.6448,2118.242176,2016,""Sittaeuropeae"",NA,NA,NA,8,0,8,8,NA"
"274,""2015_40_1"",""40_1"",40,""Qrub"",46.6448,1756.705971,2015,""Parusmajor"",NA,NA,2015-04-16,8,1,0,0,NA"
"275,""2015_40_4"",""40_4"",40,""Qrub"",46.6448,1756.705971,2015,""Parusmajor"",NA,NA,2015-05-10,6,0,6,4,NA"
"276,""2016_40_4"",""40_4"",40,""Qrub"",46.6448,1756.705971,2016,""Parusmajor"",NA,""59V39309"",2016-04-15,5,0,4,4,0.104237238"
"277,""2016_40_3"",""40_3"",40,""Qrub"",46.6448,1756.705971,2016,""Parusmajor"",NA,""59V39622"",2016-04-23,7,0,7,0,0.061638095"
"278,""2015_41_3"",""41_3"",41,""Qrub"",46.6448,1874.24286,2015,""Parusmajor"",NA,""57V84770"",2015-04-16,8,1,7,6,NA"
"279,""2016_41_4"",""41_4"",41,""Qrub"",46.6448,1874.24286,2016,""Parusmajor"",NA,""57V84770"",2016-04-11,7,0,3,1,0.101285508"
"280,""2016_41_1"",""41_1"",41,""Qrub"",46.6448,1874.24286,2016,""Cyanistescaeruleus"",NA,""14157702"",2016-04-25,11,0,11,9,0.015034524"
"281,""2015_42_2"",""42_2"",42,""Fsyl"",46.6448,1505.195427,2015,""Parusmajor"",NA,""58V92887"",2015-04-17,10,1,9,2,NA"
"282,""2015_42_1"",""42_1"",42,""Fsyl"",46.6448,1505.195427,2015,""Parusmajor"",NA,NA,2015-04-22,6,0,6,4,NA"
"283,""2016_42_1"",""42_1"",42,""Fsyl"",46.6448,1505.195427,2016,""Parusmajor"",NA,NA,2016-04-16,5,0,5,5,0.032305968"
"284,""2016_42_3"",""42_3"",42,""Fsyl"",46.6448,1505.195427,2016,""Parusmajor"",NA,NA,2016-04-21,10,0,7,3,0.019656429"
"285,""2016_42_4"",""42_4"",42,""Fsyl"",46.6448,1505.195427,2016,""Parusmajor"",NA,NA,2016-05-10,7,0,6,0,NA"
"286,""2015_43_4"",""43_4"",43,""Qrob"",46.6448,1077.37021,2015,""Parusmajor"",NA,NA,2015-04-14,8,1,0,0,NA"
"287,""2015_43_2"",""43_2"",43,""Qrob"",46.6448,1077.37021,2015,""Parusmajor"",NA,""58V92770"",2015-04-18,8,1,7,7,NA"
"288,""2015_43_3"",""43_3"",43,""Qrob"",46.6448,1077.37021,2015,""Parusmajor"",NA,NA,2015-04-22,8,1,6,6,NA"
"289,""2016_43_4"",""43_4"",43,""Qrob"",46.6448,1077.37021,2016,""Parusmajor"",NA,NA,2016-04-11,8,0,8,8,0.787112143"
"290,""2016_43_2"",""43_2"",43,""Qrob"",46.6448,1077.37021,2016,""Parusmajor"",NA,NA,2016-04-15,8,0,7,7,0.573222917"
"291,""2016_43_1"",""43_1"",43,""Qrob"",46.6448,1077.37021,2016,""Parusmajor"",NA,NA,2016-04-18,7,0,7,7,0.625568631"
"292,""2015_44_1"",""44_1"",44,""FsylQrob"",46.6448,1378.848035,2015,""Parusmajor"",NA,NA,2015-04-15,8,1,7,6,NA"
"293,""2015_44_3"",""44_3"",44,""FsylQrob"",46.6448,1378.848035,2015,""Parusmajor"",NA,NA,2015-04-17,6,1,0,0,NA"
"294,""2015_44_4"",""44_4"",44,""FsylQrob"",46.6448,1378.848035,2015,""Parusmajor"",NA,""58V92774"",2015-04-19,10,1,7,7,NA"
"295,""2015_44_2"",""44_2"",44,""FsylQrob"",46.6448,1378.848035,2015,""Parusmajor"",NA,NA,2015-04-20,4,1,0,0,NA"
"296,""2016_44_4"",""44_4"",44,""FsylQrob"",46.6448,1378.848035,2016,""Parusmajor"",NA,NA,2016-04-10,6,0,5,5,0.132827615"
"297,""2016_44_2"",""44_2"",44,""FsylQrob"",46.6448,1378.848035,2016,""Parusmajor"",NA,NA,2016-04-13,9,0,8,0,0.147451544"
"298,""2015_45_3"",""45_3"",45,""Qrub"",58.3536,2834.527845,2015,""Sittaeuropeae"",NA,NA,2015-04-01,9,0,9,0,NA"
"299,""2015_45_4"",""45_4"",45,""Qrub"",58.3536,2834.527845,2015,""Parusmajor"",NA,NA,2015-04-13,6,1,5,0,NA"
"300,""2015_45_1"",""45_1"",45,""Qrub"",58.3536,2834.527845,2015,""Parusmajor"",NA,NA,2015-04-17,10,1,NA,NA,NA"
"301,""2016_45_3"",""45_3"",45,""Qrub"",58.3536,2834.527845,2016,""Cyanistescaeruleus"",NA,NA,2016-04-07,10,0,9,9,0.183450452"
"302,""2016_45_2"",""45_2"",45,""Qrub"",58.3536,2834.527845,2016,""Parusmajor"",NA,NA,2016-04-10,9,0,8,8,0.154054643"
"303,""2016_45_1"",""45_1"",45,""Qrub"",58.3536,2834.527845,2016,""Parusmajor"",NA,""59V39912"",2016-04-13,7,0,7,7,0.168370357"
"304,""2016_45_4"",""45_4"",45,""Qrub"",58.3536,2834.527845,2016,""Parusmajor"",NA,NA,2016-04-17,9,0,8,0,0.146896786"
"305,""2016_46_1"",""46_1"",46,""threespec"",18.7863,2443.81969,2016,""Cyanistescaeruleus"",NA,NA,2016-04-11,12,0,11,11,0.412586627"
"306,""2016_46_2"",""46_2"",46,""threespec"",18.7863,2443.81969,2016,""Parusmajor"",NA,NA,2016-04-18,5,0,5,5,0.409826429"
"307,""2016_46_3"",""46_3"",46,""threespec"",18.7863,2443.81969,2016,""Cyanistescaeruleus"",NA,""8879172"",2016-04-21,10,0,10,9,0.268896667"
"308,""2015_47_2"",""47_2"",47,""Qrob"",18.7863,2059.032457,2015,""Parusmajor"",NA,NA,2015-04-09,8,1,5,5,NA"
"309,""2015_47_4"",""47_4"",47,""Qrob"",18.7863,2059.032457,2015,""Parusmajor"",NA,""57V84728"",2015-04-11,8,1,7,7,NA"
"310,""2016_47_1"",""47_1"",47,""Qrob"",18.7863,2059.032457,2016,""Cyanistescaeruleus"",NA,""8879101"",2016-04-11,12,0,11,11,0.361701111"
"311,""2015_48_2"",""48_2"",48,""Qrob"",18.7863,1741.376164,2015,""Parusmajor"",NA,NA,2015-04-09,8,1,6,6,NA"
"312,""2015_48_3"",""48_3"",48,""Qrob"",18.7863,1741.376164,2015,""Sittaeuropeae"",NA,NA,2015-04-13,8,0,8,8,NA"
"313,""2016_48_4"",""48_4"",48,""Qrob"",18.7863,1741.376164,2016,""Parusmajor"",NA,NA,2016-04-10,9,0,0,0,NA"
"314,""2016_48_2"",""48_2"",48,""Qrob"",18.7863,1741.376164,2016,""Sittaeuropeae"",NA,NA,2016-04-13,9,0,9,9,NA"
"315,""2016_49_3"",""49_3"",49,""QrobQrub"",25.5002,1946.661629,2016,""Cyanistescaeruleus"",NA,NA,2016-04-04,11,0,3,0,0.483399444"
"316,""2015_50_4"",""50_4"",50,""QrobQrub"",25.5002,2272.427065,2015,""Parusmajor"",NA,NA,2015-04-15,10,1,0,0,NA"
"317,""2015_50_3"",""50_3"",50,""QrobQrub"",25.5002,2272.427065,2015,""Cyanistescaeruleus"",NA,NA,2015-04-15,13,1,12,0,NA"
"318,""2015_50_1"",""50_1"",50,""QrobQrub"",25.5002,2272.427065,2015,""Parusmajor"",NA,""57V84730"",2015-04-17,7,1,6,0,NA"
"319,""2016_50_4"",""50_4"",50,""QrobQrub"",25.5002,2272.427065,2016,""Parusmajor"",NA,""59V39049"",2016-04-06,10,0,8,8,0.588934762"
"320,""2016_50_1"",""50_1"",50,""QrobQrub"",25.5002,2272.427065,2016,""Parusmajor"",NA,NA,2016-04-14,10,0,10,10,0.645235714"
"321,""2016_51_3"",""51_3"",51,""QrobQrub"",25.5002,1674.359935,2016,""Cyanistescaeruleus"",NA,NA,2016-04-24,9,0,7,2,0.15296494"
"322,""2015_52_2"",""52_2"",52,""Qrub"",53.3881,703.8043438,2015,""Parusmajor"",NA,""58V92960"",2015-04-16,10,1,8,NA,NA"
"323,""2016_52_4"",""52_4"",52,""Qrub"",53.3881,703.8043438,2016,""Cyanistescaeruleus"",NA,NA,2016-04-15,10,0,8,8,0.244597083"
"324,""2016_53_2"",""53_2"",53,""QrobQrub"",53.3881,655.90871,2016,""Cyanistescaeruleus"",NA,NA,2016-04-08,11,0,9,8,0.760034365"
"325,""2016_53_4"",""53_4"",53,""QrobQrub"",53.3881,655.90871,2016,""Parusmajor"",NA,NA,2016-04-12,9,0,7,7,0.760034365"
"326,""2016_53_3"",""53_3"",53,""QrobQrub"",53.3881,655.90871,2016,""Cyanistescaeruleus"",NA,NA,2016-04-14,9,0,3,0,0.730617421"
"327,""2016_53_1"",""53_1"",53,""QrobQrub"",53.3881,655.90871,2016,""Cyanistescaeruleus"",NA,NA,2016-04-19,8,0,8,8,0.645716071"
